epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.954,0.73011,2.48479,1.40051,0.3991,0.25239,0.1215,0.10439,0.675,2.29873,1.00761,0.000332849,0.000332849,0.067048
2,347.562,0.64653,2.04651,1.31461,0.3037,0.30091,0.16011,0.13491,0.83227,2.08402,1.22309,0.000659587,0.000659587,0.0340414
3,516.386,0.61078,1.90261,1.27919,0.19275,0.39408,0.19271,0.1566,0.75326,2.10822,1.06184,0.000979725,0.000979725,0.00102817
4,683.251,0.55996,1.78786,1.23751,0.36458,0.43157,0.26927,0.23336,0.68477,1.63931,0.98337,0.0009703,0.0009703,0.0009703
5,849.214,0.53879,1.72203,1.21951,0.26089,0.46187,0.3184,0.27402,0.7004,1.55969,0.98493,0.0009604,0.0009604,0.0009604
6,1015.03,0.52392,1.66772,1.20962,0.28701,0.51009,0.35897,0.33021,0.62002,1.59955,0.91044,0.0009505,0.0009505,0.0009505
7,1182.35,0.50642,1.61218,1.19072,0.42879,0.54405,0.44636,0.40891,0.62305,1.29918,0.91496,0.0009406,0.0009406,0.0009406
8,1348.55,0.48816,1.56012,1.17752,0.49823,0.53248,0.45026,0.41669,0.59318,1.29492,0.89675,0.0009307,0.0009307,0.0009307
9,1516.77,0.47274,1.51592,1.168,0.44926,0.56875,0.47608,0.4478,0.58892,1.22178,0.86741,0.0009208,0.0009208,0.0009208
10,1684.3,0.46511,1.48407,1.15985,0.37537,0.57688,0.50102,0.46779,0.58203,1.18507,0.86694,0.0009109,0.0009109,0.0009109
11,1852.49,0.46007,1.44225,1.15473,0.46361,0.54392,0.50773,0.477,0.58218,1.18997,0.86445,0.000901,0.000901,0.000901
12,2018.35,0.45494,1.426,1.15104,0.41784,0.58662,0.49707,0.46948,0.55566,1.20567,0.84555,0.0008911,0.0008911,0.0008911
13,2183.85,0.44645,1.40329,1.14469,0.40672,0.56477,0.51452,0.48149,0.59713,1.14901,0.90434,0.0008812,0.0008812,0.0008812
14,2350.48,0.44791,1.38214,1.14349,0.54597,0.58284,0.55705,0.52456,0.56429,1.05707,0.85189,0.0008713,0.0008713,0.0008713
15,2516.18,0.44039,1.35374,1.13943,0.53205,0.57466,0.56137,0.53138,0.55372,1.08658,0.84531,0.0008614,0.0008614,0.0008614
16,2681.36,0.43712,1.35156,1.13451,0.55852,0.58235,0.57429,0.54475,0.55648,1.08847,0.84247,0.0008515,0.0008515,0.0008515
17,2846.19,0.42715,1.32903,1.12907,0.42422,0.60706,0.54029,0.49765,0.60237,1.12111,0.90375,0.0008416,0.0008416,0.0008416
18,3012.64,0.41724,1.29883,1.12106,0.48563,0.65868,0.57902,0.52981,0.61358,1.05064,0.89764,0.0008317,0.0008317,0.0008317
19,3177.89,0.4174,1.28555,1.12273,0.51727,0.64929,0.60548,0.57109,0.55752,1.03792,0.82415,0.0008218,0.0008218,0.0008218
20,3344.99,0.42112,1.27851,1.12396,0.47124,0.67522,0.61675,0.57529,0.55731,1.01455,0.85983,0.0008119,0.0008119,0.0008119
21,3509.66,0.41042,1.25851,1.11555,0.50688,0.6572,0.61827,0.58483,0.54601,0.99001,0.83623,0.000802,0.000802,0.000802
22,3676.74,0.41348,1.26245,1.11781,0.57302,0.61987,0.62646,0.59218,0.55078,0.98477,0.83809,0.0007921,0.0007921,0.0007921
23,3843.25,0.4021,1.23456,1.10997,0.5922,0.65274,0.64024,0.59744,0.58268,0.98299,0.88737,0.0007822,0.0007822,0.0007822
24,4008.67,0.40373,1.22233,1.11036,0.51553,0.72793,0.67031,0.6392,0.5223,0.91845,0.79743,0.0007723,0.0007723,0.0007723
25,4180.28,0.40026,1.20858,1.10784,0.60982,0.63593,0.65283,0.60987,0.57075,0.94791,0.85567,0.0007624,0.0007624,0.0007624
26,4350.29,0.39995,1.20142,1.10688,0.58056,0.65873,0.66509,0.63467,0.52751,0.93166,0.81792,0.0007525,0.0007525,0.0007525
27,4520.91,0.39118,1.185,1.1007,0.60021,0.66998,0.68759,0.65555,0.52816,0.90707,0.81185,0.0007426,0.0007426,0.0007426
28,4689.71,0.39111,1.17982,1.09947,0.61154,0.67774,0.6863,0.64023,0.56287,0.89179,0.84587,0.0007327,0.0007327,0.0007327
29,4859.29,0.38799,1.17075,1.09736,0.61241,0.67197,0.68728,0.65391,0.52954,0.89562,0.80277,0.0007228,0.0007228,0.0007228
30,5029.11,0.38772,1.15873,1.09615,0.58601,0.68084,0.69173,0.663,0.51697,0.90026,0.79748,0.0007129,0.0007129,0.0007129
31,5197.71,0.38063,1.14337,1.09476,0.57965,0.69516,0.68753,0.65375,0.52719,0.88922,0.80928,0.000703,0.000703,0.000703
32,5368.42,0.39038,1.15322,1.10257,0.59267,0.72244,0.69061,0.65836,0.53034,0.89712,0.81683,0.0006931,0.0006931,0.0006931
33,5537.9,0.37945,1.12987,1.09426,0.63943,0.65376,0.69767,0.65908,0.5595,0.88851,0.83914,0.0006832,0.0006832,0.0006832
34,5707.28,0.37826,1.12934,1.08939,0.55161,0.7407,0.70411,0.66875,0.53743,0.87176,0.81972,0.0006733,0.0006733,0.0006733
35,5880.15,0.37948,1.12787,1.09208,0.63367,0.68654,0.71165,0.6726,0.54658,0.85618,0.83064,0.0006634,0.0006634,0.0006634
36,6051.42,0.3728,1.11116,1.08847,0.62034,0.69238,0.71215,0.68554,0.49973,0.82877,0.77628,0.0006535,0.0006535,0.0006535
37,6221.62,0.37187,1.10594,1.08704,0.63241,0.69827,0.70562,0.67795,0.49453,0.83538,0.77252,0.0006436,0.0006436,0.0006436
38,6390.87,0.37319,1.09813,1.08563,0.67737,0.69931,0.72543,0.69215,0.51507,0.82904,0.80075,0.0006337,0.0006337,0.0006337
39,6561,0.37092,1.08577,1.08561,0.66566,0.72654,0.72912,0.69765,0.50877,0.81392,0.78599,0.0006238,0.0006238,0.0006238
40,6731.82,0.36185,1.07603,1.07981,0.6508,0.71788,0.73167,0.69964,0.49276,0.79809,0.76879,0.0006139,0.0006139,0.0006139
41,6900.72,0.36292,1.07685,1.08181,0.65256,0.73113,0.73863,0.71516,0.4886,0.78248,0.76313,0.000604,0.000604,0.000604
42,7070.2,0.35744,1.06425,1.07767,0.63801,0.7344,0.73038,0.69741,0.5057,0.79465,0.77863,0.0005941,0.0005941,0.0005941
43,7239.92,0.35884,1.05795,1.07636,0.62811,0.71578,0.73884,0.70811,0.50913,0.78502,0.78469,0.0005842,0.0005842,0.0005842
44,7410.44,0.35697,1.04268,1.07559,0.59163,0.74787,0.74258,0.71384,0.50721,0.78978,0.78397,0.0005743,0.0005743,0.0005743
45,7578.29,0.35638,1.03764,1.07594,0.59473,0.7644,0.73933,0.70582,0.51651,0.77748,0.79445,0.0005644,0.0005644,0.0005644
46,7747.49,0.35494,1.04846,1.07625,0.69097,0.67056,0.73388,0.70214,0.49296,0.78031,0.76609,0.0005545,0.0005545,0.0005545
47,7916,0.35399,1.02431,1.07267,0.65643,0.72135,0.74008,0.71155,0.4911,0.77139,0.76593,0.0005446,0.0005446,0.0005446
48,8088.08,0.34941,1.02888,1.06994,0.67137,0.71958,0.74136,0.71812,0.48573,0.77626,0.75378,0.0005347,0.0005347,0.0005347
49,8256.92,0.35566,1.02768,1.0714,0.678,0.70839,0.74436,0.71042,0.50899,0.77324,0.78541,0.0005248,0.0005248,0.0005248
50,8424.73,0.34832,1.01471,1.06919,0.66624,0.72186,0.7404,0.70127,0.52734,0.77056,0.81561,0.0005149,0.0005149,0.0005149
51,8596.35,0.34965,1.02679,1.07196,0.67012,0.71231,0.74473,0.71029,0.51128,0.76361,0.79503,0.000505,0.000505,0.000505
52,8768.99,0.34864,1.00841,1.07144,0.67669,0.72876,0.74909,0.71656,0.51473,0.76506,0.79959,0.0004951,0.0004951,0.0004951
